INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
bite,Not Caught,midfielder,Winning,his team penalty area,Uruguay,1992-09-24,80,No Moon
kick in the butt,Not Caught,spectator,Winning,off field,Uruguay,1992-10-06,55,Full
headbutt,Yellow card,referee,Losing,his team penalty area,Uruguay,1992-10-13,66,No Moon
none,None,None,Winning,No location,Uruguay,1992-10-15,90,Full
scratch,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,1992-10-29,66,Full
none,None,None,Winning,No location,Uruguay,1992-10-31,90,Full
bite,None,referee,Losing,off field,Uruguay,1992-11-01,63,Full
spit in the face,yellow card,referee,Winning,opponent team penalty area,Uruguay,1992-11-10,40,Half
finger in the eye,Suspended for several games,referee,Draw at a time,off field,Uruguay,1992-11-12,90,Half
scratch,Yellow card,journalist,Losing,off field,Uruguay,1992-11-13,52,Half
scratch,Red Card,midfielder,Winning,midfield,Uruguay,1992-11-23,67,Half
scratch,Not Caught,spectator,Winning,off field,Uruguay,1992-11-24,71,No Moon
kick in the butt,Yellow card,defender,Winning,his team penalty area,Uruguay,1992-11-25,70,Full
finger in the eye,Not Caught,journalist,Losing,off field,Uruguay,1992-11-26,29,Half
scratch,Not Caught,spectator,Winning,off field,Uruguay,1992-11-26,24,No Moon
none,None,None,Winning,No location,Uruguay,1992-11-28,90,Full
headbutt,None,None,Winning,opponent team penalty area,Uruguay,1992-12-04,62,No Moon
headbutt,Red Card,journalist,Draw at a time,off field,Uruguay,1992-12-07,4,Half
none,None,None,Winning,No location,Uruguay,1992-12-15,90,No Moon
bite,Yellow card,midfielder,Losing,midfield,Uruguay,1992-12-17,83,No Moon
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,1992-12-18,82,Full
bite,Suspended for several games,journalist,Losing,off field,Uruguay,1992-12-18,26,No Moon
bite,None,defender,Draw at a time,off field,Uruguay,1992-12-20,17,Half
none,None,None,Winning,No location,Uruguay,1993-01-03,90,Full
bite,None,forward,Draw at a time,midfield,Uruguay,1993-01-06,81,Half
none,None,None,Winning,No location,Uruguay,1993-01-14,90,Full
scratch,Suspended for several games,defender,Draw at a time,off field,Uruguay,1993-01-20,71,Full
none,None,None,Winning,No location,Uruguay,1993-01-25,90,Half
spit in the face,yellow card,referee,Winning,midfield,Uruguay,1993-01-29,72,Half
scratch,Yellow card,midfielder,Winning,opponent team penalty area,Uruguay,1993-02-02,27,Full
bite,Not Caught,midfielder,Losing,off field,Uruguay,1993-02-03,84,No Moon
bite,Yellow card,referee,Draw at a time,midfield,Uruguay,1993-02-13,86,Full
bite,Not Caught,midfielder,Winning,his team penalty area,Uruguay,1993-02-14,26,No Moon
bite,Yellow card,forward,Winning,off field,Uruguay,1993-02-16,73,No Moon
headbutt,Not Caught,spectator,Winning,off field,Uruguay,1993-02-16,50,Half
bite,None,referee,Winning,off field,Uruguay,1993-02-19,81,Full
kick in the butt,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,1993-03-04,63,Half
none,None,None,Winning,No location,Uruguay,1993-03-08,90,Half
headbutt,Not Caught,goalkeeper,Losing,opponent team penalty area,Uruguay,1993-03-09,79,Full
headbutt,Not Caught,journalist,Draw at a time,off field,Uruguay,1993-03-10,23,Full
bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,1993-03-23,29,Half
kick in the butt,Red Card,defender,Winning,midfield,Uruguay,1993-04-05,57,Full
scratch,Not Caught,defender,Winning,his team penalty area,Uruguay,1993-04-06,17,No Moon
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,1993-04-16,9,No Moon
bite,Yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,1993-04-16,87,Full
kick in the butt,Suspended for several games,journalist,Winning,off field,Uruguay,1993-04-17,46,No Moon
scratch,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,1993-04-23,41,No Moon
finger in the eye,Red Card,spectator,Winning,off field,Uruguay,1993-04-24,30,Half
headbutt,Yellow card,spectator,Draw at a time,off field,Uruguay,1993-04-26,15,Full
spit in the face,yellow card,forward,Draw at a time,his team penalty area,Uruguay,1993-05-02,21,Half
headbutt,Red Card,journalist,Winning,off field,Uruguay,1993-05-06,62,Half
none,None,None,Winning,No location,Uruguay,1993-05-23,90,Half
bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,1993-05-31,64,Half
none,None,None,Winning,No location,Uruguay,1993-06-03,90,No Moon
none,None,None,Winning,No location,Uruguay,1993-06-05,90,Half
none,None,None,Winning,No location,Uruguay,1993-06-13,90,Full
scratch,Yellow card,defender,Winning,midfield,Uruguay,1993-06-18,19,No Moon
none,None,None,Winning,No location,Uruguay,1993-07-02,90,Half
none,None,None,Winning,No location,Uruguay,1993-07-03,90,Half
finger in the eye,Yellow card,referee,Winning,opponent team penalty area,Uruguay,1993-07-21,88,No Moon
bite,None,None,Draw at a time,his team penalty area,Uruguay,1993-07-22,20,Full
bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1993-07-27,81,Full
none,None,None,Winning,No location,Uruguay,1993-08-08,90,Half
bite,None,referee,Winning,opponent team penalty area,Uruguay,1993-08-10,20,Half
spit in the face,yellow card,journalist,Losing,off field,Uruguay,1993-08-11,30,No Moon
scratch,Red Card,defender,Winning,midfield,Uruguay,1993-08-17,69,Full
none,None,None,Winning,No location,Uruguay,1993-08-20,90,No Moon
scratch,Not Caught,spectator,Draw at a time,off field,Uruguay,1993-08-29,53,No Moon
scratch,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,1993-09-03,35,No Moon
spit in the face,yellow card,midfielder,Losing,opponent team penalty area,Uruguay,1993-09-04,24,Full
headbutt,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,1993-09-07,39,Full
finger in the eye,Red Card,forward,Winning,his team penalty area,Uruguay,1993-09-07,17,Half
bite,Not Caught,None,Draw at a time,his team penalty area,Uruguay,1993-09-18,2,Half
bite,Red Card,defender,Winning,his team penalty area,Uruguay,1993-09-21,81,Full
headbutt,Red Card,None,Losing,opponent team penalty area,Uruguay,1993-09-21,4,No Moon
kick in the butt,Not Caught,midfielder,Losing,midfield,Uruguay,1993-09-26,55,Full
scratch,Red Card,spectator,Losing,off field,Uruguay,1993-09-28,56,Full
kick in the butt,Yellow card,goalkeeper,Losing,midfield,Uruguay,1993-10-07,86,Full
none,None,None,Winning,No location,Uruguay,1993-10-15,90,Full
bite,None,None,Losing,opponent team penalty area,Uruguay,1993-10-16,82,No Moon
headbutt,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,1993-10-22,61,Full
headbutt,Suspended for several games,spectator,Losing,off field,Uruguay,1993-10-25,19,Full
none,None,None,Winning,No location,Uruguay,1993-10-29,90,No Moon
scratch,Not Caught,defender,Draw at a time,opponent team penalty area,Uruguay,1993-11-09,90,Half
scratch,Suspended for several games,defender,Draw at a time,his team penalty area,Uruguay,1993-11-11,1,Full
headbutt,Suspended for several games,defender,Winning,off field,Uruguay,1993-11-14,71,No Moon
kick in the butt,Yellow card,midfielder,Losing,off field,Uruguay,1993-11-17,15,Full
finger in the eye,Yellow card,None,Winning,opponent team penalty area,Uruguay,1993-11-18,61,Full
scratch,Red Card,referee,Losing,midfield,Uruguay,1993-11-23,0,Full
headbutt,Suspended for several games,goalkeeper,Losing,off field,Uruguay,1993-11-24,20,Full
spit in the face,yellow card,spectator,Losing,off field,Uruguay,1993-11-24,75,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1993-11-30,44,Half
headbutt,Yellow card,forward,Losing,off field,Uruguay,1993-12-06,51,Full
finger in the eye,Red Card,defender,Winning,his team penalty area,Uruguay,1993-12-11,71,Half
headbutt,Not Caught,defender,Winning,off field,Uruguay,1993-12-12,7,Full
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,1993-12-13,89,No Moon
finger in the eye,Red Card,referee,Winning,midfield,Uruguay,1993-12-17,24,No Moon
bite,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,1993-12-18,44,Half
bite,Suspended for several games,journalist,Winning,off field,Uruguay,1993-12-20,86,Half
none,None,None,Winning,No location,Uruguay,1993-12-24,90,No Moon
bite,Yellow card,defender,Losing,midfield,Uruguay,1994-01-02,43,Half
scratch,Not Caught,spectator,Draw at a time,off field,Uruguay,1994-01-05,87,No Moon
headbutt,None,midfielder,Draw at a time,off field,Uruguay,1994-01-14,60,Full
bite,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,1994-01-17,37,Half
spit in the face,yellow card,goalkeeper,Losing,midfield,Uruguay,1994-01-18,27,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1994-01-30,75,Full
finger in the eye,Suspended for several games,referee,Losing,opponent team penalty area,Uruguay,1994-02-02,66,Full
bite,Suspended for several games,referee,Winning,off field,Uruguay,1994-02-07,84,Full
scratch,Yellow card,goalkeeper,Winning,off field,Uruguay,1994-02-09,25,No Moon
bite,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,1994-02-10,75,Half
bite,Red Card,spectator,Losing,off field,Uruguay,1994-02-11,80,No Moon
bite,Yellow card,journalist,Winning,off field,Uruguay,1994-02-11,87,No Moon
headbutt,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,1994-02-14,15,Half
spit in the face,yellow card,forward,Losing,his team penalty area,Uruguay,1994-02-19,59,Half
scratch,Red Card,midfielder,Draw at a time,off field,Uruguay,1994-03-12,2,Full
headbutt,Not Caught,forward,Draw at a time,off field,Uruguay,1994-03-15,42,No Moon
bite,Red Card,None,Losing,midfield,Uruguay,1994-03-18,33,No Moon
none,None,None,Winning,No location,Uruguay,1994-03-22,90,Half
bite,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,1994-03-25,84,Half
headbutt,Red Card,midfielder,Losing,his team penalty area,Uruguay,1994-03-26,83,Half
none,None,None,Winning,No location,Uruguay,1994-03-26,90,Half
headbutt,None,defender,Winning,his team penalty area,Uruguay,1994-03-30,20,Half
kick in the butt,Red Card,spectator,Winning,off field,Uruguay,1994-04-04,84,Full
spit in the face,yellow card,forward,Draw at a time,his team penalty area,Uruguay,1994-04-05,1,Full
none,None,None,Winning,No location,Uruguay,1994-04-11,90,No Moon
bite,Red Card,spectator,Losing,off field,Uruguay,1994-04-11,82,No Moon
kick in the butt,Suspended for several games,spectator,Winning,off field,Uruguay,1994-04-21,71,Half
none,None,None,Winning,No location,Uruguay,1994-04-30,90,Half
spit in the face,yellow card,defender,Draw at a time,off field,Uruguay,1994-05-09,43,Full
bite,Suspended for several games,midfielder,Winning,his team penalty area,Uruguay,1994-05-13,88,Full
spit in the face,yellow card,defender,Winning,his team penalty area,Uruguay,1994-05-15,57,Half
finger in the eye,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,1994-05-20,24,Full
headbutt,None,goalkeeper,Losing,opponent team penalty area,Uruguay,1994-05-22,56,Half
bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,1994-05-23,32,No Moon
none,None,None,Winning,No location,Uruguay,1994-05-24,90,Half
none,None,None,Winning,No location,Uruguay,1994-05-27,90,Half
headbutt,Red Card,referee,Losing,off field,Uruguay,1994-05-28,16,Half
none,None,None,Winning,No location,Uruguay,1994-06-01,90,Full
bite,Yellow card,spectator,Winning,off field,Uruguay,1994-06-02,89,No Moon
none,None,None,Winning,No location,Uruguay,1994-06-04,90,Half
none,None,None,Winning,No location,Uruguay,1994-06-08,90,Full
bite,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,1994-06-10,81,Full
bite,Not Caught,journalist,Winning,off field,Uruguay,1994-06-10,81,Half
finger in the eye,Yellow card,forward,Draw at a time,off field,Uruguay,1994-06-11,88,Half
none,None,None,Winning,No location,Uruguay,1994-06-20,90,Full
headbutt,Not Caught,referee,Draw at a time,opponent team penalty area,Uruguay,1994-06-27,46,Full
headbutt,Not Caught,midfielder,Losing,his team penalty area,Uruguay,1994-07-02,29,No Moon
scratch,Yellow card,referee,Losing,his team penalty area,Uruguay,1994-07-03,1,Half
spit in the face,yellow card,referee,Draw at a time,his team penalty area,Uruguay,1994-07-09,6,Full
headbutt,Yellow card,defender,Losing,off field,Uruguay,1994-07-10,11,Half
spit in the face,yellow card,midfielder,Winning,his team penalty area,Uruguay,1994-07-13,76,Half
bite,Red Card,goalkeeper,Draw at a time,off field,Uruguay,1994-07-15,90,Half
spit in the face,yellow card,referee,Losing,midfield,Uruguay,1994-07-24,83,Half
kick in the butt,Yellow card,journalist,Winning,off field,Uruguay,1994-07-27,41,Half
spit in the face,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,1994-07-27,30,Half
scratch,Not Caught,referee,Winning,midfield,Uruguay,1994-07-31,77,No Moon
none,None,None,Winning,No location,Uruguay,1994-08-05,90,Half
finger in the eye,Suspended for several games,defender,Winning,his team penalty area,Uruguay,1994-08-10,1,No Moon
scratch,None,spectator,Draw at a time,off field,Uruguay,1994-08-11,75,Half
bite,Red Card,journalist,Draw at a time,off field,Uruguay,1994-08-12,65,No Moon
spit in the face,yellow card,None,Losing,opponent team penalty area,Uruguay,1994-08-12,27,No Moon
spit in the face,yellow card,goalkeeper,Draw at a time,his team penalty area,Uruguay,1994-08-17,55,Half
scratch,Suspended for several games,midfielder,Winning,his team penalty area,Uruguay,1994-08-31,82,Half
none,None,None,Winning,No location,Uruguay,1994-09-01,90,Full
headbutt,Not Caught,journalist,Winning,off field,Uruguay,1994-09-03,21,Full
scratch,Yellow card,forward,Losing,opponent team penalty area,Uruguay,1994-09-05,3,Half
none,None,None,Winning,No location,Uruguay,1994-09-25,90,Full
none,None,None,Winning,No location,Uruguay,1994-09-29,90,Half
bite,Red Card,forward,Draw at a time,opponent team penalty area,Uruguay,1994-10-12,88,Half
scratch,Red Card,midfielder,Losing,opponent team penalty area,Uruguay,1994-10-13,6,Full
kick in the butt,Red Card,midfielder,Losing,his team penalty area,Uruguay,1994-10-19,88,Full
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,1994-10-27,35,Half
bite,Red Card,None,Winning,opponent team penalty area,Uruguay,1994-11-02,86,Full
bite,Red Card,forward,Winning,off field,Uruguay,1994-11-05,83,Full
spit in the face,yellow card,None,Winning,off field,Uruguay,1994-11-15,23,Full
kick in the butt,Not Caught,goalkeeper,Winning,opponent team penalty area,Uruguay,1994-11-16,86,Full
headbutt,Not Caught,forward,Losing,off field,Uruguay,1994-11-20,4,No Moon
finger in the eye,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,1994-11-20,29,Full
bite,Red Card,journalist,Losing,off field,Uruguay,1994-11-20,83,Full
none,None,None,Winning,No location,Uruguay,1994-11-22,90,Full
spit in the face,yellow card,forward,Draw at a time,off field,Uruguay,1994-12-07,89,Half
spit in the face,yellow card,spectator,Losing,off field,Uruguay,1994-12-11,27,Half
scratch,Suspended for several games,referee,Losing,midfield,Uruguay,1994-12-14,12,No Moon
scratch,Yellow card,None,Losing,his team penalty area,Uruguay,1994-12-19,18,Half
finger in the eye,Not Caught,goalkeeper,Winning,midfield,Uruguay,1994-12-21,62,No Moon
spit in the face,yellow card,forward,Winning,opponent team penalty area,Uruguay,1994-12-31,68,Full
finger in the eye,Not Caught,forward,Winning,off field,Uruguay,1995-01-16,75,Full
headbutt,Red Card,defender,Winning,opponent team penalty area,Uruguay,1995-01-16,42,Full
bite,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,1995-01-19,86,No Moon
scratch,Yellow card,journalist,Losing,off field,Uruguay,1995-01-22,60,Half
kick in the butt,Yellow card,spectator,Draw at a time,off field,Uruguay,1995-01-30,3,Full
spit in the face,yellow card,defender,Losing,midfield,Uruguay,1995-02-02,34,Full
bite,Not Caught,referee,Draw at a time,off field,Uruguay,1995-02-03,12,Half
bite,Suspended for several games,journalist,Losing,off field,Uruguay,1995-02-09,41,Half
headbutt,Yellow card,spectator,Losing,off field,Uruguay,1995-02-09,20,Full
headbutt,Yellow card,None,Draw at a time,off field,Uruguay,1995-02-10,24,Full
kick in the butt,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1995-02-11,11,No Moon
scratch,Yellow card,referee,Draw at a time,off field,Uruguay,1995-02-13,57,No Moon
bite,Yellow card,spectator,Losing,off field,Uruguay,1995-02-17,86,Half
headbutt,Suspended for several games,defender,Draw at a time,his team penalty area,Uruguay,1995-02-21,46,No Moon
none,None,None,Winning,No location,Uruguay,1995-02-23,90,No Moon
spit in the face,yellow card,forward,Winning,opponent team penalty area,Uruguay,1995-03-02,47,Half
finger in the eye,Red Card,None,Draw at a time,his team penalty area,Uruguay,1995-03-03,72,Half
finger in the eye,None,forward,Draw at a time,midfield,Uruguay,1995-03-05,82,Half
none,None,None,Winning,No location,Uruguay,1995-03-07,90,No Moon
kick in the butt,Yellow card,forward,Draw at a time,off field,Uruguay,1995-03-18,44,No Moon
spit in the face,yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,1995-03-22,10,Full
scratch,Suspended for several games,forward,Losing,midfield,Uruguay,1995-03-24,72,Full
spit in the face,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1995-03-25,87,No Moon
bite,Yellow card,defender,Winning,off field,Uruguay,1995-03-31,69,Half
none,None,None,Winning,No location,Uruguay,1995-04-04,90,Half
scratch,Not Caught,midfielder,Winning,off field,Uruguay,1995-04-11,65,Half
bite,Yellow card,spectator,Losing,off field,Uruguay,1995-04-12,83,Full
headbutt,Not Caught,referee,Winning,his team penalty area,Uruguay,1995-04-12,76,Half
headbutt,None,None,Losing,opponent team penalty area,Uruguay,1995-04-14,72,Half
scratch,Red Card,referee,Draw at a time,his team penalty area,Uruguay,1995-04-21,53,No Moon
bite,Yellow card,forward,Winning,his team penalty area,Uruguay,1995-04-21,49,Half
finger in the eye,Yellow card,defender,Draw at a time,his team penalty area,Uruguay,1995-04-25,52,Half
bite,Suspended for several games,midfielder,Losing,off field,Uruguay,1995-05-05,40,Full
none,None,None,Winning,No location,Uruguay,1995-05-15,90,No Moon
scratch,None,journalist,Draw at a time,off field,Uruguay,1995-05-17,62,No Moon
headbutt,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1995-05-18,52,Full
none,None,None,Winning,No location,Uruguay,1995-05-21,90,Half
headbutt,Red Card,journalist,Winning,off field,Uruguay,1995-05-27,90,Half
kick in the butt,Suspended for several games,None,Losing,off field,Uruguay,1995-05-27,26,Full
bite,Not Caught,midfielder,Winning,off field,Uruguay,1995-05-27,85,Half
none,None,None,Winning,No location,Uruguay,1995-05-29,90,No Moon
none,None,None,Winning,No location,Uruguay,1995-06-01,90,Full
scratch,Not Caught,journalist,Winning,off field,Uruguay,1995-06-01,11,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1995-06-01,11,Full
bite,Not Caught,forward,Losing,midfield,Uruguay,1995-06-11,4,No Moon
kick in the butt,Red Card,spectator,Draw at a time,off field,Uruguay,1995-06-13,14,No Moon
kick in the butt,Yellow card,forward,Winning,his team penalty area,Uruguay,1995-06-13,19,No Moon
bite,Not Caught,spectator,Losing,off field,Uruguay,1995-06-23,62,Half
bite,None,referee,Losing,his team penalty area,Uruguay,1995-06-24,9,Full
spit in the face,yellow card,forward,Draw at a time,midfield,Uruguay,1995-06-25,7,Full
none,None,None,Winning,No location,Uruguay,1995-06-25,90,No Moon
none,None,None,Winning,No location,Uruguay,1995-06-30,90,No Moon
none,None,None,Winning,No location,Uruguay,1995-07-10,90,Half
none,None,None,Winning,No location,Uruguay,1995-07-16,90,Half
headbutt,Not Caught,spectator,Losing,off field,Uruguay,1995-07-24,32,Full
none,None,None,Winning,No location,Uruguay,1995-07-24,90,Half
finger in the eye,Yellow card,forward,Draw at a time,his team penalty area,Uruguay,1995-07-31,60,Half
bite,None,journalist,Losing,off field,Uruguay,1995-07-31,19,Half
headbutt,Yellow card,journalist,Draw at a time,off field,Uruguay,1995-07-31,69,Half
none,None,None,Winning,No location,Uruguay,1995-08-02,90,Full
finger in the eye,Yellow card,referee,Draw at a time,midfield,Uruguay,1995-08-05,26,No Moon
bite,Yellow card,defender,Draw at a time,midfield,Uruguay,1995-08-05,60,No Moon
bite,Not Caught,defender,Losing,opponent team penalty area,Uruguay,1995-08-17,86,Full
headbutt,Yellow card,forward,Draw at a time,opponent team penalty area,Uruguay,1995-08-17,82,Full
none,None,None,Winning,No location,Uruguay,1995-08-18,90,Half
bite,None,midfielder,Draw at a time,midfield,Uruguay,1995-08-18,89,Full
scratch,Red Card,midfielder,Draw at a time,opponent team penalty area,Uruguay,1995-08-19,37,No Moon
none,None,None,Winning,No location,Uruguay,1995-08-20,90,Full
none,None,None,Winning,No location,Uruguay,1995-08-23,90,Full
bite,Red Card,midfielder,Losing,his team penalty area,Uruguay,1995-09-04,84,Half
bite,Suspended for several games,midfielder,Winning,his team penalty area,Uruguay,1995-09-09,80,No Moon
spit in the face,yellow card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1995-09-15,32,Full
kick in the butt,None,referee,Winning,off field,Uruguay,1995-09-23,65,Half
headbutt,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1995-10-09,58,No Moon
headbutt,None,goalkeeper,Losing,midfield,Uruguay,1995-10-18,38,Half
spit in the face,yellow card,goalkeeper,Winning,his team penalty area,Uruguay,1995-10-19,35,Full
finger in the eye,Red Card,defender,Winning,midfield,Uruguay,1995-10-25,37,Half
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,1995-11-04,89,Half
none,None,None,Winning,No location,Uruguay,1995-11-05,90,Full
finger in the eye,Yellow card,forward,Losing,midfield,Uruguay,1995-11-07,53,Full
spit in the face,yellow card,forward,Draw at a time,his team penalty area,Uruguay,1995-11-12,86,No Moon
bite,Not Caught,None,Draw at a time,off field,Uruguay,1995-11-20,74,Full
headbutt,Yellow card,referee,Losing,off field,Uruguay,1995-11-22,60,Half
bite,Red Card,referee,Losing,his team penalty area,Uruguay,1995-11-24,8,Half
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1995-12-02,51,Half
scratch,Yellow card,journalist,Winning,off field,Uruguay,1995-12-04,52,Full
bite,Yellow card,spectator,Losing,off field,Uruguay,1995-12-09,89,Half
scratch,Suspended for several games,None,Losing,his team penalty area,Uruguay,1995-12-19,63,Half
none,None,None,Winning,No location,Uruguay,1995-12-22,90,Half
none,None,None,Winning,No location,Uruguay,1995-12-25,90,No Moon
spit in the face,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1995-12-28,79,Half
spit in the face,yellow card,None,Draw at a time,midfield,Uruguay,1996-01-06,53,Full
kick in the butt,Red Card,defender,Draw at a time,off field,Uruguay,1996-01-10,43,Half
none,None,None,Winning,No location,Uruguay,1996-01-11,90,Half
bite,None,forward,Winning,midfield,Uruguay,1996-01-23,89,No Moon
bite,None,None,Draw at a time,his team penalty area,Uruguay,1996-01-23,80,Full
bite,Not Caught,journalist,Draw at a time,off field,Uruguay,1996-01-28,30,Half
none,None,None,Winning,No location,Uruguay,1996-01-29,90,Full
headbutt,Red Card,midfielder,Winning,off field,Uruguay,1996-02-06,57,Full
bite,Not Caught,journalist,Losing,off field,Uruguay,1996-02-10,48,Half
spit in the face,yellow card,None,Losing,his team penalty area,Uruguay,1996-02-11,33,Half
none,None,None,Winning,No location,Uruguay,1996-02-20,90,Half
kick in the butt,Red Card,referee,Winning,his team penalty area,Uruguay,1996-02-21,48,No Moon
kick in the butt,Red Card,journalist,Draw at a time,off field,Uruguay,1996-02-21,65,Half
none,None,None,Winning,No location,Uruguay,1996-02-25,90,Full
none,None,None,Winning,No location,Uruguay,1996-03-07,90,No Moon
spit in the face,yellow card,referee,Losing,midfield,Uruguay,1996-03-09,81,No Moon
kick in the butt,None,None,Draw at a time,opponent team penalty area,Uruguay,1996-03-14,26,No Moon
none,None,None,Winning,No location,Uruguay,1996-03-15,90,No Moon
bite,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1996-03-20,81,Full
none,None,None,Winning,No location,Uruguay,1996-03-22,90,Half
none,None,None,Winning,No location,Uruguay,1996-03-23,90,Half
bite,Suspended for several games,None,Winning,opponent team penalty area,Uruguay,1996-03-25,84,Half
scratch,None,journalist,Draw at a time,off field,Uruguay,1996-03-27,72,No Moon
spit in the face,yellow card,midfielder,Draw at a time,his team penalty area,Uruguay,1996-04-09,62,No Moon
bite,Red Card,journalist,Losing,off field,Uruguay,1996-04-15,74,Half
bite,Yellow card,forward,Winning,opponent team penalty area,Uruguay,1996-04-18,87,Half
headbutt,Not Caught,journalist,Winning,off field,Uruguay,1996-04-19,9,No Moon
kick in the butt,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,1996-04-21,75,Full
bite,Red Card,referee,Draw at a time,opponent team penalty area,Uruguay,1996-04-27,45,Half
bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1996-04-30,31,No Moon
spit in the face,yellow card,goalkeeper,Losing,off field,Uruguay,1996-05-03,81,No Moon
headbutt,Not Caught,forward,Winning,off field,Uruguay,1996-05-06,65,No Moon
kick in the butt,Red Card,midfielder,Draw at a time,his team penalty area,Uruguay,1996-05-09,87,No Moon
bite,Red Card,referee,Losing,his team penalty area,Uruguay,1996-05-16,84,Full
bite,None,spectator,Losing,off field,Uruguay,1996-05-20,81,No Moon
none,None,None,Winning,No location,Uruguay,1996-05-22,90,Half
